time,power,shaded_substrings
139200,8.66811243481027,0
139392,8.66811243481027,0
139584,8.66811243481027,0
139776,8.66811243481027,0
139968,8.66811243481027,0
140160,8.66811243481027,0
140352,8.66811243481027,0
140544,8.66811243481027,0
140736,8.66811243481027,0
140928,8.66811243481027,0
141120,8.66811243481027,0
141312,8.66811243481027,0
141504,8.66811243481027,0
141696,8.66811243481027,0
141888,8.66811243481027,0
142080,8.66811243481027,0
142272,8.66811243481027,0
142464,8.66811243481027,0
142656,8.66811243481027,0
142848,8.66811243481027,0
143040,8.66811243481027,0
143232,8.66811243481027,0
143424,8.66811243481027,0
143616,8.66811243481027,0
143808,8.66811243481027,0
144000,8.66811243481027,0
144192,8.66811243481027,0
144384,8.66811243481027,0
144576,8.66811243481027,0
144768,8.66811243481027,0
144960,8.66811243481027,0
145152,8.66811243481027,0
145344,8.66811243481027,0
145536,8.66811243481027,0
145728,8.66811243481027,0
145920,8.66811243481027,0
146112,8.66811243481027,0
146304,8.66811243481027,0
146496,8.66811243481027,0
146688,8.66811243481027,0
146880,8.66811243481027,0
147072,8.66811243481027,0
147264,8.66811243481027,0
147456,8.66811243481027,0
147648,8.66811243481027,0
147840,8.66811243481027,0
148032,8.66811243481027,0
148224,8.66811243481027,0
148416,8.66811243481027,0
148608,8.66811243481027,0
148800,8.66811243481027,0
148992,8.66811243481027,0
149184,8.66811243481027,0
149376,8.66811243481027,0
149568,8.66811243481027,0
149760,8.66811243481027,0
149952,8.66811243481027,0
150144,8.66811243481027,0
150336,8.66811243481027,0
150528,8.66811243481027,0
150720,8.66811243481027,0
150912,8.66811243481027,0
151104,8.66811243481027,0
151296,8.66811243481027,0
151488,8.66811243481027,0
151680,8.66811243481027,0
151872,8.66811243481027,0
152064,8.66811243481027,0
152256,8.66811243481027,0
152448,8.66811243481027,0
152640,8.66811243481027,0
152832,8.66811243481027,0
153024,8.66811243481027,0
153216,8.66811243481027,0
153408,8.66811243481027,0
153600,8.66811243481027,0
153792,8.66811243481027,0
153984,8.66811243481027,0
154176,8.66811243481027,0
154368,8.66811243481027,0
154560,8.66811243481027,0
154752,8.66811243481027,0
154944,8.66811243481027,0
155136,8.66811243481027,0
155328,8.66811243481027,0
155520,8.66811243481027,0
155712,8.66811243481027,0
155904,8.66811243481027,0
156096,8.66811243481027,0
156288,8.66811243481027,0
156480,8.66811243481027,0
156672,8.66811243481027,0
156864,8.66811243481027,0
157056,8.66811243481027,0
157248,8.66811243481027,0
157440,8.66811243481027,0
157632,8.66811243481027,0
157824,8.66811243481027,0
158016,8.66811243481027,0
158208,8.66811243481027,0
158400,8.66811243481027,0
158592,8.66811243481027,0
158784,8.66811243481027,0
158976,8.66811243481027,0
159168,8.66811243481027,0
159360,8.66811243481027,0
159552,8.66811243481027,0
159744,8.66811243481027,0
159936,8.66811243481027,0
160128,8.66811243481027,0
160320,8.66811243481027,0
160512,8.66811243481027,0
160704,8.66811243481027,0
160896,8.66811243481027,0
161088,8.66811243481027,0
161280,8.66811243481027,0
161472,8.66811243481027,0
161664,8.66811243481027,0
161856,8.66811243481027,0
162048,8.66811243481027,0
162240,8.66811243481027,0
162432,8.66811243481027,0
162624,8.66811243481027,0
162816,8.66811243481027,0
163008,8.66811243481027,0
163200,8.66811243481027,0
163392,8.66811243481027,0
163584,8.66811243481027,0
163776,8.66811243481027,0
163968,8.66811243481027,0
164160,8.66811243481027,0
164352,8.66811243481027,0
164544,8.66811243481027,0
164736,8.66811243481027,0
164928,8.66811243481027,0
165120,8.66811243481027,0
165312,8.66811243481027,0
165504,8.66811243481027,0
165696,8.66811243481027,0
165888,8.66811243481027,0
166080,8.66811243481027,0
166272,8.66811243481027,0
166464,8.66811243481027,0
166656,8.66811243481027,0
166848,8.66811243481027,0
167040,8.66811243481027,0
167232,8.66811243481027,0
167424,8.66811243481027,0
167616,8.66811243481027,0
167808,8.66811243481027,0
168000,8.66811243481027,0
168192,8.66811243481027,0
168384,8.66811243481027,0
168576,8.66811243481027,0
168768,8.66811243481027,0
168960,8.66811243481027,0
169152,8.66811243481027,0
169344,8.66811243481027,0
169536,8.66811243481027,0
169728,8.66811243481027,0
169920,8.66811243481027,0
170112,8.66811243481027,0
170304,8.66811243481027,0
170496,8.66811243481027,0
170688,8.66811243481027,0
170880,8.66811243481027,0
